year_key,league_key,team_key,park_key,games,openings,attendance
1890,NL,BSN,BOS03,66,2,6691
1890,PL,BSP,BOS04,70,6,28726
1890,NL,CHN,CHI06,74,7,19510
1890,PL,CHP,CHI07,70,9,41725
1890,NL,CIN,CIN04,73,6,24264
1890,NL,CL4,CLE03,63,4,6150
1890,NL,CL4,DET01,1,1,2000
1890,NL,CL4,IND06,6,0,0
1890,AA,CL6,COL02,71,1,4000
1890,PL,CLP,CLE04,62,9,13238
1890,AA,LS2,LOU02,74,4,35269
1890,NL,NY1,NYC09,66,5,10054
1890,PL,NYP,NYC10,66,8,26684
1890,AA,PH4,GLO01,13,0,0
1890,AA,PH4,PHI01,59,1,11810
1890,NL,PHI,PHI06,76,4,11166
1890,PL,PHP,PHI07,65,6,33755
1890,NL,PIT,CAN02,1,0,0
1890,NL,PIT,PIT04,38,7,4275
1890,NL,PIT,WHE01,1,0,0
1890,PL,PTP,PIT05,65,8,28389
1890,AA,RC2,IRO01,6,0,0
1890,AA,RC2,ROC01,57,0,0
1890,AA,SL4,STL03,72,1,6775
1890,AA,SR2,SYR02,54,1,1165
1890,AA,SR2,SYR03,1,0,0
1890,AA,SR2,THR01,5,0,0
1890,AA,TL2,TOL03,68,2,7800
1891,AA,BL3,BAL06,14,1,5800
1891,AA,BL3,BAL07,56,0,0
1891,NL,BRO,NYC11,72,0,0
1891,AA,BS2,BOS04,70,1,5000
1891,NL,BSN,BOS03,73,0,0
1891,NL,CHN,CHI06,31,0,0
1891,NL,CHN,CHI07,36,0,0
1891,NL,CIN,CIN04,67,0,0
1891,NL,CL4,CLE05,69,0,0
1891,AA,CL6,COL02,62,1,1209
1891,AA,CN3,PEN01,45,1,4125
1891,AA,LS2,LOU02,71,0,0
1891,AA,ML3,MIL03,20,1,300
1891,AA,ML3,MIN01,1,0,0
1891,NL,NY1,NYC10,69,1,10000
1891,AA,PH4,PHI07,72,1,2169
1891,NL,PHI,PHI06,69,1,5000
1891,NL,PIT,PIT05,66,1,5500
1891,AA,SL4,STL03,74,3,7377
1891,AA,WS9,WAS06,72,0,0
1892,NL,BLN,BAL07,77,2,2792
1892,NL,BRO,NYC11,78,2,4471
1892,NL,BSN,BOS03,76,3,11263
1892,NL,CHN,CHI07,67,2,600
1892,NL,CIN,CIN04,80,2,7550
1892,NL,CL4,CLE05,79,1,2000
1892,NL,LS3,LOU02,70,1,1400
1892,NL,NY1,NYC10,79,1,1385
1892,NL,PHI,PHI06,79,2,7311
1892,NL,PHI,PIT05,2,0,0
1892,NL,PIT,PIT05,89,2,4740
1892,NL,SLN,KAN03,3,0,0
1892,NL,SLN,STL03,72,2,11000
1892,NL,WAS,WAS06,70,2,8665
1893,NL,BLN,BAL07,60,1,2400
1893,NL,BRO,NYC11,67,0,0
1893,NL,BSN,BOS03,65,2,4860
1893,NL,CHN,CHI07,8,1,3500
1893,NL,CHN,CHI08,65,1,1123
1893,NL,CIN,CIN04,66,3,7180
1893,NL,CL4,CLE05,70,1,2800
1893,NL,LS3,LOU02,1,0,0
1893,NL,LS3,LOU03,52,0,0
1893,NL,NY1,NYC10,71,4,35250
1893,NL,PHI,PHI06,66,4,38516
1893,NL,PIT,PIT05,73,0,0
1893,NL,SLN,STL05,72,1,20000
1893,NL,WAS,WAS06,49,3,15678
1894,NL,BLN,BAL07,67,59,304881
1894,NL,BRO,NYC11,69,50,183180
1894,NL,BSN,BOS03,4,2,15500
1894,NL,BSN,BOS04,27,21,43083
1894,NL,BSN,BOS05,32,27,75289
1894,NL,CHN,CHI08,68,67,256937
1894,NL,CIN,CIN05,66,55,160387
1894,NL,CL4,CLE05,59,48,72397
1894,NL,LS3,LOU03,62,51,81606
1894,NL,NY1,NYC10,71,60,370180
1894,NL,PHI,PHI06,43,32,205301
1894,NL,PHI,PHI08,6,5,11950
1894,NL,PHI,PHI14,22,17,72722
1894,NL,PIT,PIT05,75,65,161684
1894,NL,SLN,STL05,66,54,173072
1894,NL,WAS,WAS06,62,45,103069
1895,NL,BLN,BAL07,67,1,14000
1895,NL,BRO,NYC11,67,1,15000
1895,NL,BSN,BOS05,68,1,15000
1895,NL,CHN,CHI08,67,0,0
1895,NL,CIN,CIN05,65,1,17000
1895,NL,CL4,CLE05,62,0,0
1895,NL,LS3,LOU03,59,1,5000
1895,NL,NY1,NYC10,67,2,20400
1895,NL,PHI,PHI09,73,2,21000
1895,NL,PIT,PIT05,67,0,0
1895,NL,SLN,STL05,68,1,6000
1895,NL,WAS,WAS06,69,2,5200
1896,NL,BLN,BAL07,67,0,0
1896,NL,BRO,NYC11,65,0,0
1896,NL,BSN,BOS05,67,0,0
1896,NL,CHN,CHI08,68,0,0
1896,NL,CIN,CIN05,66,0,0
1896,NL,CL4,CLE05,64,0,0
1896,NL,LS3,LOU03,64,0,0
1896,NL,NY1,NYC10,66,0,0
1896,NL,PHI,PHI09,69,0,0
1896,NL,PIT,PIT05,66,0,0
